name,price,sqft,high_rise,furnished,bath,bed,parking
"Arte +, Jalan Ampang","RM 2,390",781 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Arte +, Jalan Ampang","RM 2,200",808 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Prima Setapak I, Setapak","RM 1,300",1000 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Trinity Aquata, Sungai Besi","RM 2,000",893 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"One Mesraria, Old Klang Road","RM 1,950",1300 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Cendana Apartment, Bandar Sri Permaisuri",RM 850,650 sqft,High-Rise,Unfurnished,2 bath,3 bed,0 parking
"Platinum Lake PV15, Setapak",RM 450,1400 sqft,High-Rise,Fully furnished,2 bath,4 bed,1 parking
"Trinity Aquata, Sungai Besi","RM 2,000",1151 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Midfields 2, Sungai Besi","RM 1,600",1019 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"The Nest, Setapak","RM 2,000",860 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Cendana Apartment, Bandar Sri Permaisuri",RM 850,650 sqft,High-Rise,Unfurnished,2 bath,3 bed,0 parking
"Abadi Villa, Taman Desa","RM 1,700",1280 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Lido Residency, Bandar Sri Permaisuri","RM 2,300",1108 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"MH Platinum Residency, Setapak","RM 1,750",1018 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Amadesa, Desa Petaling",RM 310,750 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
Clearwater Residence,"RM 3,600",988 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"M City, Ampang Hilir","RM 3,000",981 sqft,High-Rise,Fully furnished,2 bath,1 bed,1 parking
the reach @ titiwangsa,"RM 1,390",350 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Taman Sri Sinar, Segambut","RM 1,200",592 sqft,Landed,Partially furnished,2 bath,3 bed,0 parking
"Bayu Sentul, Sentul","RM 1,800",1630 sqft,High-Rise,Partially furnished,3 bath,4 bed,2 parking
"Ascenda Residence @ SkyArena, Setapak","RM 2,000",900 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Merc Residence, Taman Desa","RM 1,700",1067 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Plaza Damas 3, Sri Hartamas","RM 1,500",431 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
"Sri Putramas II, Dutamas","RM 2,200",1170 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Sri Intan Block C, Jalan Ipoh","RM 1,300",1200 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Residensi Sefina, Mont Kiara","RM 4,700",1333 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Menara Orkid, Sentul",RM 500,800 sqft,High-Rise,Partially furnished,2 bath,1 bed,0 parking
"Dex @ Kiara East, Jalan Ipoh","RM 2,200",698 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
"Dex @ Kiara East, Jalan Ipoh","RM 1,800",698 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
The Sybaris,"RM 3,900",904 sqft,High-Rise,Fully furnished,1 bath,1 bed,2 parking
Blok 25 Bandar Baru Sentul,"RM 1,000",550 sqft,High-Rise,Unfurnished,1 bath,2 bed,0 parking
sentrio pandan Facing KLCC,"RM 900,000",950 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"m city, jalan ampang","RM 6,250",1920 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"viva residency, jalan ipoh","RM 1,600",900 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
titiwangsa sentral,"RM 2,250",1100 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"viva residency, jalan ipoh","RM 1,600",900 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
"suasana bukit ceylon, kl city centre","RM 4,500",1400 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"Tiara Faber, Taman Desa","RM 2,100",1250 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Spring Avenue, Kuchai Lama","RM 2,400",986 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
exsim | expressionz professional suites @ tun razak ,"RM 3,000",320 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Fraser Residences,"RM 5,000",904 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Flexus Signature Suite,"RM 2,000",563 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
Kiara East Suite DEX 2.0,"RM 1,650",1010 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
marc residence,"RM 3,000",500 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
H6 Pandan Jaya,"RM 1,180",988 sqft,High-Rise,Partially furnished,1 bath,3 bed,1 parking
The Saffron Sentul,"RM 2,300",1087 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Sang Suria, Sentul",RM 400,1200 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"EkoCheras, Cheras","RM 2,200",762 sqft,High-Rise,Fully furnished,2 bath,1 bed,1 parking
"Southbank Residence, Old Klang Road","RM 2,500",953 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Sri Pelangi, Setapak","RM 1,500",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Southbank Residence, Old Klang Road","RM 2,200",785 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"Southbank Residence, Old Klang Road","RM 1,000",953 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Vista Amani, Bandar Sri Permaisuri","RM 1,350",1101 sqft,Landed,Partially furnished,2 bath,3 bed,1 parking
"Kuchai Avenue, Kuchai Lama","RM 1,800",950 sqft,High-Rise,Unfurnished,2 bath,3 bed,0 parking
"m suites, jalan ampang","RM 3,200",960 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
Taman Bukit Angerrik,RM 900,688 sqft,Landed,Partially furnished,2 bath,2 bed,1 parking
1 Sentul Condominium,"RM 2,500",1355 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"menara duta 2 condo, dutamas","RM 1,800",1453 sqft,High-Rise,Partially furnished,4 bath,4 bed,1 parking
dua residency,"RM 5,900",2315 sqft,High-Rise,Fully furnished,5 bath,5 bed,2 parking
"sri putramas condo 1, jalan kuching","RM 1,700",1050 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Glomac Damansara Residences, TTDI","RM 2,800",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
covillea condominium,"RM 2,400",1518 sqft,High-Rise,Partially furnished,3 bath,4 bed,1 parking
"Terrace house in taman dato senu, sentul","RM 1,500",1000 sqft,Landed,Unfurnished,2 bath,3 bed,1 parking
"Pelangi Condominium, Sentul","RM 430,000",1223 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Salak South Garden, Sungai Besi","RM 1,700",1540 sqft,Landed,Unfurnished,2 bath,4 bed,0 parking
"central residence, sungai besi","RM 1,600",800 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
Arte+ Jalan Ampang KLCC view (Available from AUG 2019 onwards),"RM 2,500",684 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Central Residence, Sungai Besi","RM 1,600",738 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
28 Boulevard Pandan Perdana,"RM 1,200",450 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
