name,price,sqft,high_rise,furnished,bath,bed,parking
"Menara Bukit Ceylon, Bukit Ceylon","RM 3,500",1550 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Menara Megah, Sentul","RM 2,100",1086 sqft,High-Rise,Fully furnished,1 bath,3 bed,2 parking
"Vista Angkasa, Pantai","RM 2,900",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,0 parking
"The Saffron, Sentul",RM 950,1100 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Amaya Maluri Apartment,"RM 2,500",920 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Court 28 @ KL City, Sentul","RM 2,300",859 sqft,High-Rise,Fully furnished,2 bath,2 bed,2 parking
"Menara Megah, Sentul","RM 2,100",1100 sqft,High-Rise,Fully furnished,1 bath,3 bed,2 parking
"Titiwangsa Sentral, Titiwangsa","RM 2,700",1100 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Faber Heights, Taman Desa ","RM 1,800",605 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
M-City,"RM 2,500",1000 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
"Summer Suites, KLCC","RM 2,600",495 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Residensi Pandanmas 2, Pandan Indah","RM 1,400",900 sqft,High-Rise,Unfurnished,2 bath,3 bed,2 parking
"The Capers, Sentul","RM 2,900",1381 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"The Park Residences, Bangsar South","RM 6,900",2068 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
residensi gombak 126,"RM 1,400",756 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
merpati apartment m1,RM 300,750 sqft,High-Rise,Fully furnished,1 bath,3 bed,0 parking
Vortex @ KLCC,"RM 3,800",744 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
Desa Villa,"RM 1,900",1200 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Palm Court, Brickfields","RM 2,000",950 sqft,High-Rise,Fully furnished,1 bath,2 bed,0 parking
"The Robertson, Pudu","RM 2,800",538 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Court 28 @ KL City, Sentul","RM 2,200",703 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"Danau Impian, Taman Desa","RM 1,400",990 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Faber Indah, Taman Desa","RM 1,250",750 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"La Villas Condominium, Setapak","RM 1,450",1300 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Petaling Indah, Sungai Besi","RM 1,400",890 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Le Yuan Residence, Kuchai Lama","RM 2,800",1406 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"Robson Heights, Seputeh","RM 2,700",1480 sqft,High-Rise,Fully furnished,3 bath,4 bed,1 parking
"Sri Kinabalu, Wangsa Maju",RM 410,1200 sqft,High-Rise,Fully furnished,2 bath,4 bed,0 parking
"Central Residence, Sungai Besi","RM 1,300",565 sqft,High-Rise,Partially furnished,1 bath,2 bed,2 parking
"288 Residences, Kuchai Lama","RM 3,000",1440 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
"Casa Kiara I, Mont Kiara","RM 3,000",1298 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
"VIVO Suites @ 9 Seputeh, Old Klang Road","RM 1,100",484 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
Shamelin Star,"RM 2,500",927 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Vivo Residential @ 9 Seputeh, Old Klang Road","RM 2,700",1238 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
